State,Candidate,Party,Votes,Vote %
Alabama,Richard C. Shelby,Republican,1334131,0.6400441174495163
Alaska,"Murkowski, Lisa",Republican,138149,0.44358000391727487
Arizona,John McCain,Republican,1359258,0.5336614001653683
Arkansas,Senator John Boozman,Republican,661984,0.5977330741288192
California,Kamala D. Harris,Democratic,7542758,0.616028324981334
Colorado,Michael Bennet,Democratic,1370710,0.4997067110847169
Connecticut,Richard Blumenthal,Democratic,1008526,0.6318883293829584
Florida,Marco Rubio,Republican,4835185,0.5190604367197752
Georgia,JOHNNY ISAKSON,Republican,2135806,0.5478385217276436
Hawaii,"SCHATZ, Brian",Democratic,306604,0.7360344918643563
Idaho,Mike Crapo,Republican,449017,0.661397779614106
Illinois,TAMMY DUCKWORTH,Democratic,3012940,0.5480212999549642
Indiana,Todd Young,Republican,1423865,0.5174623768457242
Iowa,Charles E. Grassley,Republican,926007,0.6008990056040222
Kansas,"Moran, Jerry",Republican,395470,0.33557035590126777
Kentucky,Rand PAUL,Republican,859004,0.45124928228584277
Louisiana,John Kennedy,Republican,482591,0.24957709185032337
Maryland,Chris Van Hollen,Democratic,1659907,0.6089886626373328
Missouri,Roy Blunt,Republican,1378458,0.49184339314845027
Nevada,"CORTEZ MASTO, CATHERINE",Democratic,521869,0.4710434154707104
New Hampshire,Maggie Hassan,Democratic,354649,0.47981302594907593
New York,Charles Schumer,Democratic,5202932,0.6869039515382467
North Carolina,Richard Burr,Republican,2395376,0.5106177974489319
North Dakota,John Hoeven,Republican,268788,0.7847801904228017
Ohio,Rob Portman,Republican,3118567,0.5802887667737717
Oklahoma,JAMES LANKFORD,Republican,980892,0.677389615116084
Oregon,Ron Wyden,Democratic,1105119,0.5660087161077954
Pennsylvania,PATRICK J TOOMEY,Republican,2951706,0.48773558264843336
South Carolina,Tim Scott,Republican,1241609,0.6294337216063625
South Dakota,John R. Thune,Republican,265494,0.7182909969455034
Utah,Mike Lee,Republican,760493,0.6794599293641073
Vermont,Patrick Leahy,Democratic,192243,0.6126114929782128
Washington,Patty Murray,Democratic,1913186,0.5902253621064647
Wisconsin,Ron Johnson,Republican,1479471,0.5017297212607007
